quarter, time remaining, action 20051102,score
2,3:14,Jalen Rose enters the game for Chris Bosh.,46 - 47
2,3:03,Morris Peterson made three point jumper. Assisted by Jalen Rose.,46 - 50
2,2:46,Jarvis Hayes made two point shot. Assisted by Antawn Jamison.,48 - 50
2,2:28,Charlie Villanueva made jumper. Assisted by Jalen Rose.,48 - 52
2,2:15,Matt Bonner Personal Foul. Gilbert Arenas gains possession.,48 - 52
2,2:15,Official Timeout.,48 - 52
2,2:15,Jared Jeffries enters the game for Etan Thomas.,48 - 52
2,2:06,Antawn Jamison made 7 ft two point shot.,50 - 52
2,1:47,Matt Bonner missed 12 ft two point shot.,50 - 52
2,1:46,Jarvis Hayes defensive rebound.,50 - 52
2,1:38,Gilbert Arenas made driving layup.,52 - 52
2,1:21,Michael Ruffin Shooting Foul. Matt Bonner gains possession.,52 - 52
2,1:21,Matt Bonner made Free Throw 1 of 2.,52 - 53
2,1:21,Matt Bonner missed Free Throw 2 of 2.,52 - 53
2,1:21,Michael Ruffin defensive rebound.,52 - 53
2,1:06,Matt Bonner Shooting Foul. Michael Ruffin gains possession.,52 - 53
2,1:06,Michael Ruffin missed Free Throw 1 of 2.,52 - 53
2,1:06,Washington offensive rebound.,52 - 53
2,1:06,Michael Ruffin missed Free Throw 2 of 2.,52 - 53
2,1:05,Charlie Villanueva defensive rebound.,52 - 53
2,51.3,Jalen Rose made 14 ft running jumper.,52 - 55
2,44.8,Jalen Rose Personal Foul. Antawn Jamison gains possession.,52 - 55
2,44.8,Antawn Jamison missed Free Throw 1 of 2.,52 - 55
2,44.8,Washington offensive rebound.,52 - 55
2,44.8,Antawn Jamison missed Free Throw 2 of 2.,52 - 55
2,44.7,Charlie Villanueva defensive rebound.,52 - 55
2,33.4,Toronto 20 Sec. Timeout.,52 - 55
2,20.9,Jose Calderon missed 24 ft three point jumper.,52 - 55
2,18.7,Michael Ruffin defensive rebound.,52 - 55
2,14.8,Jarvis Hayes Bad Pass,52 - 55
2,3.0,Jared Jeffries Personal Foul. Jalen Rose gains possession.,52 - 55
2,3.0,Jalen Rose made Free Throw 1 of 2.,52 - 56
2,3.0,Joey Graham enters the game for Matt Bonner.,52 - 56
2,3.0,Jalen Rose made Free Throw 2 of 2.,52 - 57
2,1.2,Gilbert Arenas made two point shot. Assisted by Jarvis Hayes.,54 - 57
2,0.0,End of the 2nd Quarter.,54 - 57
3,12:00,Start of the 3rd Quarter.,54 - 57
3,11:44,Chris Bosh missed 7 ft jumper.,54 - 57
3,11:41,Antawn Jamison defensive rebound.,54 - 57
3,11:36,Jared Jeffries made layup. Assisted by Gilbert Arenas.,56 - 57
3,11:22,Joey Graham made 21 ft jumper. Assisted by Jalen Rose.,56 - 59
3,11:04,Gilbert Arenas missed 26 ft three point jumper.,56 - 59
3,11:03,Loren Woods defensive rebound.,56 - 59
3,10:56,Mike James's driving layup blocked by Gilbert Arenas.,56 - 59
3,10:55,Gilbert Arenas defensive rebound.,56 - 59
3,10:49,Antonio Daniels missed 11 ft running jumper.,56 - 59
3,10:48,Chris Bosh defensive rebound.,56 - 59
3,10:42,Joey Graham missed 18 ft jumper.,56 - 59
3,10:41,Antawn Jamison defensive rebound.,56 - 59
3,10:21,Antonio Daniels made driving layup.,58 - 59
3,10:21,Loren Woods Shooting Foul. Antonio Daniels gains possession.,58 - 59
3,10:21,Antonio Daniels missed Free Throw 1 of 1.,58 - 59
3,10:19,Loren Woods defensive rebound.,58 - 59
3,10:07,Chris Bosh made driving layup.,58 - 61
3,10:07,Jared Jeffries Shooting Foul. Chris Bosh gains possession.,58 - 61
3,10:07,Chris Bosh made Free Throw 1 of 1.,58 - 62
3,9:52,Antawn Jamison missed 24 ft three point jumper.,58 - 62
3,9:51,Chris Bosh defensive rebound.,58 - 62
3,9:42,Joey Graham Bad Pass. Stolen by Antawn Jamison.,58 - 62
3,9:30,Brendan Haywood 3 second,58 - 62
3,9:17,Jalen Rose made 20 ft jumper. Assisted by Mike James.,58 - 64
3,8:53,Jared Jeffries missed 20 ft jumper.,58 - 64
3,8:52,Brendan Haywood offensive rebound.,58 - 64
3,8:51,Brendan Haywood missed tip shot.,58 - 64
3,8:49,Brendan Haywood offensive rebound.,58 - 64
3,8:48,Brendan Haywood missed layup.,58 - 64
3,8:48,Washington offensive rebound.,58 - 64
3,8:42,Gilbert Arenas's driving layup blocked by Chris Bosh.,58 - 64
3,8:41,Antawn Jamison offensive rebound.,58 - 64
3,8:38,Antawn Jamison missed layup.,58 - 64
3,8:37,Brendan Haywood offensive rebound.,58 - 64
3,8:37,Brendan Haywood missed tip shot.,58 - 64
3,8:36,Joey Graham defensive rebound.,58 - 64
3,8:34,Joey Graham Offensive Foul. Antawn Jamison gains possession.,58 - 64
3,8:34,Joey Graham Turnover,58 - 64
3,8:21,Antawn Jamison missed 8 ft two point shot.,58 - 64
3,8:18,Loren Woods defensive rebound.,58 - 64
3,8:08,Chris Bosh made 17 ft jumper.,58 - 66
3,7:58,Jared Jeffries made two point shot. Assisted by Antonio Daniels.,60 - 66
3,7:33,Mike James made jumper. Assisted by Chris Bosh.,60 - 68
3,7:15,Antonio Daniels missed 25 ft three point jumper.,60 - 68
3,7:13,Brendan Haywood offensive rebound.,60 - 68
3,7:13,Jalen Rose Shooting Foul. Brendan Haywood gains possession.,60 - 68
3,7:13,Brendan Haywood missed Free Throw 1 of 2.,60 - 68
3,7:13,Washington offensive rebound.,60 - 68
3,7:13,Brendan Haywood missed Free Throw 2 of 2.,60 - 68
3,7:11,Loren Woods defensive rebound.,60 - 68
3,7:00,Jalen Rose Offensive Foul. Antonio Daniels gains possession.,60 - 68
3,7:00,Jalen Rose Turnover,60 - 68
3,7:00,Jarvis Hayes enters the game for Antonio Daniels.,60 - 68
3,7:00,Caron Butler enters the game for Jared Jeffries.,60 - 68
3,6:50,Loren Woods Personal Foul. Gilbert Arenas gains possession.,60 - 68
3,6:50,Charlie Villanueva enters the game for Loren Woods.,60 - 68
3,6:43,Jarvis Hayes made 21 ft jumper. Assisted by Antawn Jamison.,62 - 68
3,6:24,Chris Bosh Traveling,62 - 68
3,6:11,Gilbert Arenas made jumper.,64 - 68
3,5:52,Jalen Rose Lost Ball. Stolen by Jarvis Hayes.,64 - 68
3,5:45,Jarvis Hayes missed layup.,64 - 68
3,5:41,Joey Graham defensive rebound.,64 - 68
3,5:39,Charlie Villanueva made two point shot. Assisted by Joey Graham.,64 - 70
3,5:18,Caron Butler missed 16 ft jumper.,64 - 70
3,5:18,Washington defensive rebound.,64 - 70
3,5:18,Brendan Haywood Loose Ball Foul. Chris Bosh gains possession.,64 - 70
3,5:18,Toronto Official Timeout.,64 - 70
3,5:05,Joey Graham Turnover,64 - 70
3,4:54,Chris Bosh Shooting Foul. Caron Butler gains possession.,64 - 70
3,4:54,Caron Butler missed Free Throw 1 of 2.,64 - 70
3,4:54,Washington offensive rebound.,64 - 70
3,4:54,Caron Butler made Free Throw 2 of 2.,65 - 70
3,4:33,Chris Bosh missed driving layup.,65 - 70
3,4:31,Caron Butler defensive rebound.,65 - 70
3,4:18,Gilbert Arenas made layup.,67 - 70
3,3:59,Jalen Rose made 23 ft three point jumper. Assisted by Mike James.,67 - 73
3,3:43,Brendan Haywood Lost Ball. Stolen by Mike James.,67 - 73
3,3:42,Antawn Jamison Clear Path Foul. Mike James gains possession.,67 - 73
3,3:42,Matt Bonner enters the game for Chris Bosh.,67 - 73
3,3:42,Morris Peterson enters the game for Joey Graham.,67 - 73
3,3:42,Mike James missed Flagrant Free Throw 1 of 2.,67 - 73
3,3:42,Toronto offensive rebound.,67 - 73
3,3:40,Gilbert Arenas Personal Foul. Mike James gains possession.,67 - 73
3,3:27,Matt Bonner missed 19 ft jumper.,67 - 73
3,3:25,Caron Butler defensive rebound.,67 - 73
3,3:18,Gilbert Arenas made 10 ft running jumper. Assisted by Caron Butler.,69 - 73
3,3:01,Gilbert Arenas Shooting Foul. Mike James gains possession.,69 - 73
3,3:01,Mike James made Free Throw 1 of 2.,69 - 74
3,3:01,Mike James made Free Throw 2 of 2.,69 - 75
3,2:43,Gilbert Arenas made driving layup.,71 - 75
3,2:31,Jalen Rose Turnover,71 - 75
3,2:31,Washington Official Timeout.,71 - 75
3,2:10,Caron Butler missed jumper.,71 - 75
3,2:08,Mike James defensive rebound.,71 - 75
3,2:00,Caron Butler Personal Foul. Jalen Rose gains possession.,71 - 75
3,2:00,Jalen Rose made Free Throw 1 of 2.,71 - 76
3,2:00,Jalen Rose made Free Throw 2 of 2.,71 - 77
3,1:51,Brendan Haywood made dunk. Assisted by Antawn Jamison.,73 - 77
3,1:34,Charlie Villanueva missed 10 ft two point shot.,73 - 77
3,1:31,Brendan Haywood defensive rebound.,73 - 77
3,1:27,Jarvis Hayes made 11 ft two point shot. Assisted by Caron Butler.,75 - 77
3,1:00,Charlie Villanueva missed 23 ft three point jumper.,75 - 77
3,56.9,Charlie Villanueva offensive rebound.,75 - 77
3,54.6,Charlie Villanueva made 4 ft hook shot.,75 - 79
3,39.1,Antawn Jamison made 24 ft three point jumper. Assisted by Gilbert Arenas.,78 - 79
3,27.5,Caron Butler Shooting Foul. Morris Peterson gains possession.,78 - 79
3,27.5,Jose Calderon enters the game for Mike James.,78 - 79
3,27.5,Morris Peterson made Free Throw 1 of 3.,78 - 80
3,27.5,Morris Peterson made Free Throw 2 of 3.,78 - 81
3,27.5,Chucky Atkins enters the game for Caron Butler.,78 - 81
3,27.5,Joey Graham enters the game for Jalen Rose.,78 - 81
3,27.5,Morris Peterson made Free Throw 3 of 3.,78 - 82
3,5.9,Morris Peterson Shooting Foul. Gilbert Arenas gains possession.,78 - 82
3,5.9,Gilbert Arenas made Free Throw 1 of 2.,79 - 82
3,5.9,Jared Jeffries enters the game for Antawn Jamison.,79 - 82
3,5.9,Gilbert Arenas missed Free Throw 2 of 2.,79 - 82
3,5.5,Joey Graham defensive rebound.,79 - 82
3,0.1,Matt Bonner missed 20 ft jumper.,79 - 82
3,0.0,Toronto offensive rebound.,79 - 82
3,0.0,End of the 3rd Quarter.,79 - 82
4,12:00,Start of the 4th Quarter.,79 - 82
4,11:37,Jarvis Hayes made 25 ft three point jumper. Assisted by Caron Butler.,82 - 82
4,11:22,Jose Calderon Lost Ball. Stolen by Brendan Haywood.,82 - 82
4,11:15,Jarvis Hayes missed layup.,82 - 82
4,11:14,Jarvis Hayes offensive rebound.,82 - 82
4,11:12,Jarvis Hayes missed 22 ft three point jumper.,82 - 82
4,11:12,Washington offensive rebound.,82 - 82
4,11:12,Joey Graham Loose Ball Foul. Brendan Haywood gains possession.,82 - 82
4,10:57,Chucky Atkins missed 25 ft three point jumper.,82 - 82
4,10:56,Morris Peterson defensive rebound.,82 - 82
4,10:47,Chris Bosh missed jumper.,82 - 82
4,10:45,Toronto defensive rebound.,82 - 82
4,10:32,Caron Butler missed 17 ft jumper.,82 - 82
4,10:30,Brendan Haywood offensive rebound.,82 - 82
4,10:22,Caron Butler Offensive Foul. Chris Bosh gains possession.,82 - 82
4,10:22,Caron Butler Turnover,82 - 82
4,10:03,Chucky Atkins Personal Foul. Jose Calderon gains possession.,82 - 82
4,9:55,Chris Bosh's two point shot blocked by Brendan Haywood.,82 - 82
4,9:52,Jarvis Hayes defensive rebound.,82 - 82
4,9:38,Jarvis Hayes missed 21 ft jumper.,82 - 82
4,9:37,Chris Bosh defensive rebound.,82 - 82
4,9:26,Joey Graham missed driving layup.,82 - 82
4,9:25,Joey Graham offensive rebound.,82 - 82
4,9:22,Charlie Villanueva missed tip shot.,82 - 82
4,9:22,Toronto defensive rebound.,82 - 82
4,9:07,Caron Butler made jumper. Assisted by Jarvis Hayes.,84 - 82
4,8:52,Morris Peterson missed 16 ft running jumper.,84 - 82
4,8:51,Caron Butler defensive rebound.,84 - 82
4,8:45,Caron Butler made driving dunk.,86 - 82
4,8:36,Joey Graham missed 5 ft hook shot.,86 - 82
4,8:33,Brendan Haywood defensive rebound.,86 - 82
4,8:32,Jared Jeffries Offensive Foul. Chris Bosh gains possession.,86 - 82
4,8:32,Jared Jeffries Turnover,86 - 82
4,8:32,Official Timeout.,86 - 82
4,8:32,Jalen Rose enters the game for Joey Graham.,86 - 82
4,8:32,Antawn Jamison enters the game for Jared Jeffries.,86 - 82
4,8:32,Etan Thomas enters the game for Brendan Haywood.,86 - 82
4,8:32,Gilbert Arenas enters the game for Jarvis Hayes.,86 - 82
4,8:14,Antawn Jamison Shooting Foul. Chris Bosh gains possession.,86 - 82
4,8:14,Chris Bosh made Free Throw 1 of 2.,86 - 83
4,8:14,Chris Bosh missed Free Throw 2 of 2.,86 - 83
4,8:12,Caron Butler defensive rebound.,86 - 83
4,8:00,Chucky Atkins missed 17 ft jumper.,86 - 83
4,7:58,Morris Peterson defensive rebound.,86 - 83
4,7:45,Chris Bosh made 7 ft two point shot.,86 - 85
4,7:45,Etan Thomas Shooting Foul. Chris Bosh gains possession.,86 - 85
4,7:45,Mike James enters the game for Jose Calderon.,86 - 85
4,7:45,Chris Bosh made Free Throw 1 of 1.,86 - 86
4,7:31,Morris Peterson Personal Foul. Gilbert Arenas gains possession.,86 - 86
4,7:26,Caron Butler missed layup.,86 - 86
4,7:26,Washington offensive rebound.,86 - 86
4,7:26,Jalen Rose Loose Ball Foul. Caron Butler gains possession.,86 - 86
4,7:20,Antawn Jamison made 21 ft jumper.,88 - 86
4,6:54,Chris Bosh made 18 ft jumper. Assisted by Morris Peterson.,88 - 88
4,6:37,Mike James Shooting Foul. Gilbert Arenas gains possession.,88 - 88
4,6:37,Gilbert Arenas made Free Throw 1 of 2.,89 - 88
4,6:37,Gilbert Arenas made Free Throw 2 of 2.,90 - 88
4,6:20,Morris Peterson made 23 ft three point jumper. Assisted by Mike James.,90 - 91
4,6:01,Caron Butler missed 7 ft jumper.,90 - 91
4,6:00,Chris Bosh defensive rebound.,90 - 91
4,5:50,Jalen Rose missed 9 ft running jumper.,90 - 91
4,5:48,Gilbert Arenas defensive rebound.,90 - 91
4,5:43,Toronto Official Timeout.,90 - 91
4,5:43,Brendan Haywood enters the game for Etan Thomas.,90 - 91
4,5:35,Antawn Jamison made driving layup. Assisted by Chucky Atkins.,92 - 91
4,5:16,Morris Peterson Offensive Foul. Brendan Haywood gains possession.,92 - 91
4,5:16,Morris Peterson Turnover,92 - 91
4,5:05,Antawn Jamison missed 15 ft jumper.,92 - 91
4,5:03,Chris Bosh defensive rebound.,92 - 91
4,4:48,Charlie Villanueva missed 25 ft three point jumper.,92 - 91
4,4:48,Brendan Haywood defensive rebound.,92 - 91
4,4:35,Gilbert Arenas missed driving layup.,92 - 91
4,4:33,Charlie Villanueva defensive rebound.,92 - 91
4,4:28,Mike James Offensive Foul. Chucky Atkins gains possession.,92 - 91
4,4:28,Mike James Turnover,92 - 91
4,4:18,Gilbert Arenas missed 18 ft two point shot.,92 - 91
4,4:16,Mike James defensive rebound.,92 - 91
4,4:01,Jalen Rose made two point shot. Assisted by Morris Peterson.,92 - 93
4,3:58,Washington Full Timeout.,92 - 93
4,3:39,Antawn Jamison missed 25 ft three point jumper.,92 - 93
4,3:36,Brendan Haywood offensive rebound.,92 - 93
4,3:35,Jumpball: Brendan Haywood vs. Chris Bosh. Charlie Villanueva gains possession.,92 - 93
4,3:35,Brendan Haywood Lost Ball. Stolen by Chris Bosh.,92 - 93
4,3:17,Morris Peterson missed three point jumper.,92 - 93
4,3:15,Chris Bosh offensive rebound.,92 - 93
4,3:12,Jalen Rose missed 25 ft three point jumper.,92 - 93
4,3:10,Charlie Villanueva offensive rebound.,92 - 93
4,3:05,Mike James missed 24 ft three point jumper.,92 - 93
4,3:03,Caron Butler defensive rebound.,92 - 93
4,2:58,Antawn Jamison made layup. Assisted by Caron Butler.,94 - 93
4,2:38,Jalen Rose missed 10 ft jumper.,94 - 93
4,2:36,Brendan Haywood defensive rebound.,94 - 93
4,2:31,Caron Butler missed driving layup.,94 - 93
4,2:30,Antawn Jamison offensive rebound.,94 - 93
4,2:30,Antawn Jamison missed tip shot.,94 - 93
4,2:30,Antawn Jamison offensive rebound.,94 - 93
